"Time","id"
2017-11-28 00:19:40,2
2017-11-28 00:24:39,3
2017-11-28 00:30:21,4
2017-11-28 00:32:02,5
2017-11-28 00:36:22,6
2017-11-28 01:06:32,7
2017-11-28 08:22:13,8
2017-11-28 14:16:14,9
2017-11-29 12:19:34,10
2017-11-29 12:19:56,11
2017-11-29 13:49:31,12
2017-11-29 14:13:42,13
2017-11-29 17:03:29,14
2017-11-29 23:26:18,15
2017-11-30 01:01:52,16
2017-11-30 01:01:57,17
2017-11-30 10:48:21,18
2017-12-01 14:40:53,19
2017-12-02 19:15:09,20
2017-12-02 19:29:55,21
2017-12-03 17:30:53,22
2017-12-04 08:53:43,23
2017-12-04 09:05:29,24
2017-12-04 12:20:11,25
2017-12-04 15:32:30,26
2017-12-04 18:59:33,27
2017-12-04 21:19:06,28
2017-12-05 08:12:57,29
2017-12-05 14:19:08,30
2017-12-05 15:05:16,31
2017-12-05 16:35:28,32
2017-12-06 00:27:04,33
2017-12-06 10:45:37,34
2017-12-06 18:33:36,35
2017-12-06 22:55:00,36
2017-12-07 07:07:04,37
2017-12-07 12:24:18,38
2017-12-07 14:13:24,39
2017-12-07 14:20:46,40
2017-12-07 15:07:58,41
2017-12-07 19:51:42,42
2017-12-07 22:11:35,43
2017-12-07 23:09:54,44
2017-12-07 23:36:56,45
2017-12-07 23:37:04,46
2017-12-07 23:37:10,47
2017-12-07 23:38:44,48
2017-12-07 23:40:15,49
2017-12-07 23:40:49,50
2017-12-07 23:41:00,51
2017-12-07 23:42:02,52
2017-12-07 23:42:07,53
2017-12-07 23:42:14,54
2017-12-07 23:42:25,55
2017-12-07 23:42:38,56
2017-12-07 23:43:03,57
2017-12-07 23:43:28,58
2017-12-07 23:43:52,59
2017-12-07 23:43:58,60
2017-12-07 23:44:55,61
2017-12-07 23:45:01,62
2017-12-07 23:46:09,63
2017-12-07 23:46:36,64
2017-12-07 23:46:37,65
2017-12-07 23:46:59,66
2017-12-07 23:52:29,67
2017-12-07 23:53:11,68
2017-12-07 23:55:33,69
2017-12-07 23:56:53,70
2017-12-07 23:59:55,71
2017-12-08 00:09:26,72
2017-12-08 00:13:04,73
2017-12-08 00:14:52,74
2017-12-08 00:16:10,75
2017-12-08 00:19:00,76
2017-12-08 00:20:39,77
2017-12-08 00:23:02,78
2017-12-08 00:24:10,79
2017-12-08 00:26:15,80
2017-12-08 00:27:02,81
2017-12-08 00:30:05,82
2017-12-08 00:34:38,83
2017-12-08 00:38:59,84
2017-12-08 00:41:54,85
2017-12-08 00:43:54,86
2017-12-08 00:46:31,87
2017-12-08 00:53:23,88
2017-12-08 01:06:22,89
2017-12-08 01:07:54,90
2017-12-08 01:27:25,91
2017-12-08 01:34:37,92
2017-12-08 01:34:40,93
2017-12-08 01:36:01,94
2017-12-08 01:38:46,95
2017-12-08 01:40:41,96
2017-12-08 01:45:25,97
2017-12-08 01:54:02,98
2017-12-08 03:50:21,99
2017-12-08 06:12:53,100
2017-12-08 08:52:51,101
2017-12-08 09:27:19,102
2017-12-08 09:48:32,103
2017-12-08 09:58:54,104
2017-12-08 10:11:06,105
2017-12-08 10:24:34,106
2017-12-08 10:31:55,107
2017-12-08 11:35:28,108
2017-12-08 11:55:26,109
2017-12-08 12:05:05,110
2017-12-08 12:18:36,111
2017-12-08 14:17:12,112
2017-12-08 14:29:17,113
2017-12-08 14:45:18,114
2017-12-08 15:02:11,115
2017-12-08 17:37:52,116
2017-12-08 17:47:04,117
2017-12-08 20:18:41,118
2017-12-08 20:18:51,119
2017-12-08 20:32:02,120
2017-12-08 21:11:44,121
2017-12-08 22:52:17,122
2017-12-08 23:33:31,123
2017-12-08 23:48:30,124
2017-12-08 23:56:42,125
2017-12-09 00:38:37,126
2017-12-09 09:32:21,127
2017-12-09 10:37:33,128
2017-12-09 11:06:29,129
2017-12-09 11:59:45,130
2017-12-09 13:29:08,131
2017-12-09 17:45:41,132
2017-12-09 18:34:58,133
2017-12-10 05:54:07,134
2017-12-10 06:23:32,135
2017-12-10 11:07:00,136
2017-12-10 11:08:36,137
2017-12-10 11:50:50,138
2017-12-10 12:38:10,139
2017-12-10 16:20:26,140
2017-12-10 22:21:20,141
2017-12-10 23:02:44,142
2017-12-11 06:17:40,143
2017-12-11 06:48:53,144
2017-12-11 09:29:17,145
2017-12-11 10:05:01,146
2017-12-11 10:13:25,147
2017-12-11 16:15:30,148
2017-12-11 16:18:30,149
2017-12-11 20:33:04,150
2017-12-11 23:05:58,151
2017-12-12 00:29:06,152
2017-12-12 01:21:13,153
2017-12-12 01:51:44,154
2017-12-12 11:32:39,155
